Customer_ID,Ticket Description,Subject,Sentiment
,Im having an issue with the product purchased . Please assist. Your billing zip code is . We appreciate that you have requested a website address. Please double check your email address. Ive tried troubleshooting steps mentioned in the user manual but the issue persists.,Software bug,NEGATIVE
,Im having an issue with the product purchased . Please assist. If you need to change an existing product. Im having an issue with the product purchased . Please assist. If The issue Im facing is intermittent. Sometimes it works fine but other times it acts up unexpectedly.,Software bug,NEGATIVE
,Im facing a problem with my product purchased . The product purchased is not turning on. It was working fine until yesterday but now it doesnt respond. .. I really Im using the original charger that came with my product purchased but its not charging properly.,Hardware issue,NEGATIVE
,Im having an issue with the product purchased . Please assist. If you have a problem youre interested in and Id love to see this happen please check out the Feedback. Ive already contacted customer support multiple times but the issue remains unresolved.,Hardware issue,NEGATIVE
,Im having an issue with the product purchased . Please assist. Note The seller is not responsible for any damages arising out of the delivery of the battleground game. Please have the game in good condition and shipped to you Ive noticed a sudden decrease in battery life on my product purchased . It used to last much longer.,Battery life,NEGATIVE
,Im facing a problem with my product purchased . The product purchased is not turning on. It was working fine until yesterday but now it doesnt respond. To remove the new product purch Ive checked for any available software updates for my product purchased but there are none.,Hardware issue,NEGATIVE
,Im unable to access my product purchased account. It keeps displaying an Invalid Credentials error even though Im using the correct login information. How can I regain access to my account Solution Im unable to find the option to perform the desired action in the product purchased . Could you please guide me through the steps,Account access,NEGATIVE
,Im having an issue with the product purchased . Please assist. Thanks I will contact all my suppliers and confirm. Please try and find out whether their inventory is currently stocked or any other reason. I am Ive performed a factory reset on my product purchased hoping it would resolve the problem but it didnt help.,Software bug,NEGATIVE
,Im having an issue with the product purchased . Please assist. Thank you. product purchased is not the exact type you might prefer they use the exact same method for different uses. Please help Ive recently updated the firmware of my product purchased and the issue started happening afterward. Could it be related to the update,Software bug,NEGATIVE
,My product purchased is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this If we can please send a request to dav The issue Im facing is intermittent. Sometimes it works fine but other times it acts up unexpectedly.,Hardware issue,NEGATIVE
